Date,Open,High,Low,Close,Volume,Quarter_Sin,Quarter_Cos,Pct_Price,Pct_PriceN,GARCH_Sig,EMA_SHORT,EMA_LONG,DEMA_SHORT,DEMA_LONG,MACD_HIST,RSI,PLUS_DI,MINUS_DI,EPS,Pct_Surprise,Pct_EPS,Pct_EPS_YTY,PCT_REALGDP,INFLATION,FFR,T10Y2Y,Label
2015-02-24,86.3272,87.3749,86.0331,87.0608,5817317.1283691,0.0,1.0,0.2180234231289102,4.34403251342641,1.3445403771583178,85.91276969753866,82.89109771574097,87.25005168752709,84.79864490985936,0.7278512031869961,71.15590254222673,35.24346967354437,17.49889038465448,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.39,1
2015-02-25,87.7547,88.4325,87.1266,88.3469,6444488.6656442,0.0,1.0,1.4772434896072717,5.626686529404945,1.3100238080125561,86.72414646502578,83.41069793328944,88.15658563667614,85.60668844860709,0.7601306905929013,80.67108308535259,32.303840386905904,22.688585795683863,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.35,0
2015-02-26,88.5571,88.6648,86.8126,87.005,5943645.6425192,0.0,1.0,-1.5188987955434885,2.3092336420464266,1.3346782182304489,86.8177643100172,83.7530124158333,87.83513565444504,86.04957408056514,0.6448621191929866,79.00120267363592,30.116146798957573,20.176912986648606,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.37,0
2015-02-27,86.7658,87.4038,85.7729,85.9275,4903855.9984424,0.0,1.0,-1.2384345727257107,-0.724399078037552,1.3719007659986509,86.52100954001146,83.96010647146822,87.00142058962619,86.2253187898953,0.4585594711011203,73.48901098901092,27.187116086131695,18.2145504632346,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.37,0
2015-03-02,85.3283,87.8623,85.3283,87.7278,5840728.6112586,0.0,1.0,2.0951383433708726,0.985825024116127,1.3743806959471272,86.92327302667431,84.31893442656649,87.51172271752603,86.69306610261322,0.42010965570378445,75.14081347163929,25.885726048998563,15.607739701399879,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.42,0
2015-03-03,87.5284,87.65,86.2983,86.726,3612808.7184143,0.0,1.0,-1.1419413230469688,-0.3845588370426145,1.4260010348893877,86.8575153511162,84.54817876689349,87.20597669464527,86.90361421027924,0.29656574364417,70.00540963545353,23.765055864734887,19.888133540553454,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.44,0
2015-03-04,86.4129,87.6032,85.9275,87.4337,4966135.4784197,0.0,1.0,0.8160182644189717,-1.0336525673226848,1.4028610613934567,87.04957690074414,84.82299031290363,87.40992549618214,87.20273758902373,0.23458323933751069,69.87599099075332,21.484618112658268,17.979715954566633,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.46,0
2015-03-05,87.7078,88.617,87.1815,88.4804,4878755.2132484,0.0,1.0,1.197135658218751,1.6957646112292446,1.362865900356469,87.52651793382944,85.17131504500804,88.08471101951163,87.63957067149688,0.23553498344515456,70.935055549618,19.6951978478982,23.757985031496535,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.46,0
2015-03-06,88.1943,88.2133,86.4428,86.5545,5206023.4277199,0.0,1.0,-2.176640250270112,0.7296849087893964,1.3544171543041057,87.2025119558863,85.30304694548347,87.35863669437899,87.65541661273686,0.08564158388558551,61.83629921692674,17.419095708193314,21.012361403702577,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.51,0
2015-03-09,86.2983,87.1716,85.8687,86.8714,4348421.6264938,0.0,1.0,0.3661276998885077,-0.9762013865616259,1.444373796520822,87.0921413039242,85.45241390305648,87.12264402827792,87.71588989694703,-0.00800590775944876,67.70357645853781,16.103816210458486,19.42576192596476,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.5,0
2015-03-10,85.9773,86.1737,84.6954,84.6954,5297282.8686702,0.0,1.0,-2.504851999622415,-2.3413970435624765,1.3794849530581994,86.29322753594947,85.38031734086063,85.7809535068688,87.36299396953679,-0.22056320477864388,59.870002584344746,14.133819557305856,17.04938818455078,0.69,2.9851,-20.6896551724138,21.052631578947366,3.6,-0.543199001688326,0.11,1.44,0
